KFF - Custom State Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Iowa,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"Adults Reporting Poor Mental Health by Number of Days per Month, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 Days,56.80%,56.10%,57.40%,55.60%,58.30%,51.70%,57.40%,60.40%,48.60%,62.10%,56.70%,62.90%,57.70%,57.50%,56.10%,55.30%,57.50%,N/A,53.60%,55.30%,56.50%,55.50%,53.60%,55.10%,59.10%,58.40%,54.30%,59.80%,53.90%,55.50%,58.40%,57.50%,57.40%,57.70%,58.70%,55.20%,57.00%,51.50%,N/A,55.70%,59.20%,58.90%,52.20%,56.80%,49.70%,53.70%,56.20%,52.30%,51.80%,56.70%,57.70%
1-4 Days,14.60%,16.50%,15.30%,13.50%,14.60%,17.50%,14.60%,14.20%,19.60%,12.60%,14.90%,13.30%,14.60%,14.80%,15.80%,14.50%,14.60%,N/A,13.90%,14.70%,15.40%,16.20%,14.60%,17.60%,13.90%,13.60%,15.40%,14.90%,14.20%,15.80%,14.80%,14.30%,14.80%,15.00%,15.70%,14.20%,14.20%,16.10%,N/A,15.40%,12.70%,14.50%,14.30%,13.80%,19.20%,17.50%,14.70%,17.30%,13.50%,15.80%,14.70%
5-13 Days,12.80%,12.50%,12.50%,12.10%,12.40%,15.30%,13.70%,11.20%,18.70%,10.40%,12.80%,10.90%,12.90%,14.10%,12.80%,13.20%,12.30%,N/A,13.80%,12.00%,14.30%,13.50%,14.70%,13.20%,11.60%,11.30%,12.50%,11.90%,12.00%,13.30%,13.00%,12.20%,13.70%,12.20%,12.50%,13.50%,11.60%,15.20%,N/A,12.70%,12.00%,12.40%,13.90%,13.20%,14.90%,13.00%,13.60%,14.30%,12.70%,12.90%,13.50%
14+ Days,15.90%,14.90%,14.70%,18.90%,14.70%,15.50%,14.30%,14.20%,13.20%,15.00%,15.60%,12.90%,14.80%,13.70%,15.20%,17.00%,15.60%,N/A,18.70%,18.00%,13.80%,14.80%,17.10%,14.20%,15.40%,16.70%,17.80%,13.40%,19.90%,15.40%,13.90%,16.00%,14.20%,15.20%,13.10%,17.10%,17.10%,17.20%,N/A,16.20%,16.00%,14.30%,19.60%,16.10%,16.20%,15.80%,15.40%,16.10%,22.00%,14.70%,14.20%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Footnotes, Notes, Sources & Definitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adults Reporting Poor Mental Health by Number of Days per Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States: US totals exclude data from the territories.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of poor mental health days reported for the past 30 days. Categorical break downs were selected based on diagnostic protocol for the severity of different mental illnesses in the [DSM-IV](https://dsm.psychiatryonline.org/doi/abs/10.1176/appi.books.9780890420249.dsm-iv-tr). Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2023 Behavioral Risk Factor Surveillance System (BRFSS).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*N/A*: Data not available. US Virgin Islands is only included in BRFSS in 2016 and 2023. Due to limited data, New Jersey was not included in the 2019 BRFSS aggregated data set. Florida was unable to collect BRFSS data over enough months to meet the minimum requirements for inclusion in 2021, and Kentucky and Pennsylvania did not meet minimum requirements for inclusion in 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
